0 | function | palavra-reservada
1185 | \\ | string

1186 | \\\\ | string

1187 | | | char

1188 | ^\\\\ | string

1189 | * | operador

1190 | |\ | string

1191 | \\\\ | string

1192 | | | char

1193 | ^\\\\\ | string

1194 | * | operador

1195 | \ | char

1196 | | | char

1197 | \\\\ | string

1198 | | | char

1199 | ^\\\\ | string

1200 | \\ | string

1201 | | | char

1202 | attributes | string

1203 | * | operador

1204 | | | char

1205 | * | operador

1206 | \\ | string

1207 | | | char

1208 | rwhitespace | string

1209 | = | operador

1210 | new | palavra-reservada

1211 | RegExp | string

1212 | whitespace | string

1213 | g | char

1214 | rtrim | string

1215 | = | operador

1216 | new | palavra-reservada

1217 | RegExp | string

1218 | ^ | char

1219 | whitespace | string

1220 | | | char

1221 | ^| | string

1222 | ^\\\\ | string

1223 | \\\\ | string

1224 | * | operador

1225 | whitespace | string

1226 | $ | char

1227 | g | char

1228 | rcomma | string

1229 | = | operador

1230 | new | palavra-reservada

1231 | RegExp | string

1232 | ^ | char

1233 | whitespace | string

1234 | * | operador

1235 | whitespace | string

1236 | * | operador

1237 | rcombinators | string

1238 | = | operador

1239 | new | palavra-reservada

1240 | RegExp | string

1241 | ^ | char

1242 | whitespace | string

1243 | * | operador

1244 | > | comparador

1245 | ~ | char

1246 | | | char

1247 | whitespace | string

1248 | whitespace | string

1249 | * | operador

1250 | rdescend | string

1251 | = | operador

1252 | new | palavra-reservada

1253 | RegExp | string

1254 | whitespace | string

1255 | |> | string

1256 | rpseudo | string

1257 | = | operador

1258 | new | palavra-reservada

1259 | RegExp | string

1260 | pseudos | string

1261 | ridentifier | string

1262 | = | operador

